,store,level,latitude,longitude,Stadium_200,Stadium_500,Stadium_1000,Food_200,Food_500,Food_1000,Athletics_Sports_200,Athletics_Sports_500,Athletics_Sports_1000,Parking_200,Parking_500,Parking_1000,Shop_Service_200,Shop_Service_500,Shop_Service_1000,Clothing_Store_200,Clothing_Store_500,Clothing_Store_1000,Bus_Stop_200,Bus_Stop_500,Bus_Stop_1000,Metro_Station_200,Metro_Station_500,Metro_Station_1000
106,"4080 East Fwy, Baytown, TX 77521",non,29.7991483,-94.9983052,0,0,0,0,1,6,0,0,0,0,0,0,1,8,19,0,0,0,0,0,0,0,0,0
107,"2700 7th St, Bay City, TX 77414",non,28.9827027,-95.9576593,0,0,1,10,19,46,0,1,4,0,0,0,17,43,44,1,2,7,0,0,0,0,0,0
108,"1930 Waverly Ave, San Antonio, TX 78228",non,29.4482803,-98.5407744,0,0,0,5,8,37,0,1,3,0,0,0,12,25,39,0,0,0,0,0,1,0,0,0
109,"814 SW 10th Ave, Amarillo, TX 79101",non,35.2051502,-101.847387,0,0,0,6,7,43,0,2,6,0,0,2,14,35,33,1,1,2,0,0,1,0,0,0
110,"7233 S Richfield St, Aurora, CO 80016",non,39.5851893,-104.7866901,0,0,0,0,0,6,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
111,"600 Longs Peak Ave, Longmont, CO 80501",non,40.1708966,-105.1029582,0,0,0,9,40,48,3,7,13,0,0,0,24,32,40,0,6,12,0,0,2,0,0,0
112,"860 Alpine St, West Wendover, NV 89883",non,40.7384122,-114.0794077,0,0,0,0,3,4,0,1,3,0,0,0,3,9,13,0,0,0,0,0,0,0,0,0
113,"3967 Prairie Gold Ct, Las Vegas, NV 89129",non,36.233261,-115.2746714,0,0,0,0,0,1,0,1,8,0,0,0,1,6,10,0,0,0,0,0,2,0,0,0
114,"47904 90th St W, Lancaster, CA 93536",non,34.7532114,-118.288725,0,0,0,1,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0
115,"201 S Green St, Tehachapi, CA 93561",non,35.1308531,-118.448026,0,0,0,13,22,27,0,0,7,0,0,0,20,34,34,3,5,5,0,0,0,0,0,0
116,"21401 Hacienda Dr, Tehachapi, CA 93561",non,35.1424889,-118.5105043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,"70410 Parkfield-Coalinga Rd, Parkfield, CA 93451",non,35.8981367,-120.4326871,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,"955 S 6th St, San Jose, CA 95112",non,37.3244254,-121.8747473,0,0,6,0,15,48,1,3,16,1,1,4,10,43,50,0,1,4,0,0,0,0,0,0
119,"10404 Live Oak Blvd, Live Oak, CA 95953",non,39.2821616,-121.6616186,0,0,0,8,11,14,1,2,2,0,0,0,2,10,23,0,0,0,0,0,0,0,0,0
120,"225 N 5th St, Hamilton, MT 59840",non,46.2485225,-114.1621575,0,0,0,1,20,31,0,2,3,0,0,0,1,32,38,0,3,3,0,0,0,0,0,0
121,"386 N Main St, Buffalo, WY 82834",non,44.3516465,-106.6994761,0,0,0,1,19,31,0,2,4,0,0,0,2,27,29,0,3,4,0,0,0,0,0,0
122,"200 Main St, Timber Lake, SD 57656",non,45.4229654,-101.0738361,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0
123,"8725 Columbine Rd, Eden Prairie, MN 55344",non,44.8462653,-93.4410793,0,0,0,4,8,46,4,4,18,0,0,1,10,24,45,0,1,4,0,0,0,0,0,0
124,"321 N Chestnut St, Lindsborg, KS 67456",non,38.5772119,-97.6810949,0,0,0,0,3,11,0,0,0,0,0,0,0,13,32,0,1,2,0,0,0,0,0,0
